p_diric_aff,lmda,Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
0.75,0.25,65,3.3139839733134335E-9,0,8.362175577515446E-8
0.75,0.25,66,2.4029041690944695E-9,0,6.049717281773773E-8
0.75,0.25,67,1.7415498665581607E-9,0,4.3573165188686084E-8
0.75,0.25,68,1.2485522030778606E-9,0,3.094130602596525E-8
0.75,0.25,69,9.02891571055514E-10,0,2.2116068221314614E-8
0.75,0.25,70,6.411055518548659E-10,0,1.5477931409263608E-8
0.75,0.25,71,4.6443623986061376E-10,0,1.1047610988335798E-8
0.75,0.25,72,3.323368574716359E-10,0,7.781087391114667E-9
0.75,0.25,73,2.3629889110869553E-10,0,5.4420691444115725E-9
0.75,0.25,74,1.697038221390055E-10,0,3.8550316983046766E-9
0.75,0.25,75,1.190391786997063E-10,0,2.660952459358745E-9
0.75,0.25,76,8.598430211781685E-11,0,1.905405644736963E-9
0.75,0.25,77,6.303179175025383E-11,0,1.3913978478413325E-9
0.75,0.25,78,4.76557708473017E-11,0,1.0559877861635676E-9
0.75,0.25,79,3.643797710214074E-11,0,8.121033898975129E-10
0.75,0.25,80,2.8637457131300986E-11,0,6.442723390560713E-10
0.75,0.25,81,2.254663981317453E-11,0,5.107327263596716E-10
0.75,0.25,82,1.770826849889887E-11,0,4.029116848125047E-10
0.75,0.25,83,1.3949739998321049E-11,0,3.179907069844475E-10
0.75,0.25,84,1.0763510775804706E-11,0,2.452630851173327E-10
0.75,0.25,85,8.142065624233494E-12,0,1.8537201983759279E-10
0.75,0.25,86,6.055369916835879E-12,0,1.3762524298611404E-10
0.75,0.25,87,4.481605387631314E-12,0,1.016481549917449E-10
0.75,0.25,88,3.2218457953404727E-12,0,7.290293911179626E-11
0.75,0.25,89,2.3291988143053774E-12,0,5.2584579035856426E-11
0.75,0.25,90,1.6095633538087345E-12,0,3.622798944274228E-11
0.75,0.25,91,1.1144107453839438E-12,0,2.501721255520601E-11
0.75,0.25,92,7.501035851613488E-13,0,1.678679755784762E-11
0.75,0.25,93,5.175941710534303E-13,0,1.1558757830621304E-11
0.75,0.25,94,3.461895943776744E-13,0,7.712033223931918E-12
0.75,0.25,95,2.4110711144819933E-13,0,5.367063778963519E-12
0.75,0.25,96,1.6355688488194363E-13,0,3.637745993362865E-12
0.75,0.25,97,1.144642051117958E-13,0,2.547169405603153E-12
0.75,0.25,98,8.118405676626505E-14,0,1.8085343416184412E-12
0.75,0.25,99,5.614911266841417E-14,0,1.2522720369242167E-12
0.75,0.25,100,3.869785731138755E-14,0,8.643020115640746E-13
0.75,0.25,101,2.6966920175496983E-14,0,6.031931633518727E-13
0.75,0.25,102,1.879980642585842E-14,0,4.21076059990839E-13
0.75,0.25,103,1.3444840949413007E-14,0,3.0140526163206415E-13
0.75,0.25,104,1.0031498361394617E-14,0,2.2492191748163322E-13
0.75,0.25,105,7.530066184137824E-15,0,1.688246470273351E-13
0.75,0.25,106,5.488272867468441E-15,0,1.2305381598853507E-13
0.75,0.25,107,4.167634921420804E-15,0,9.34524106629286E-14
0.75,0.25,108,3.3119506531190677E-15,0,7.426355194201443E-14
0.75,0.25,109,2.598225474518131E-15,0,5.825870608907046E-14
0.75,0.25,110,2.016931183185102E-15,0,4.5224164216424106E-14
0.75,0.25,111,1.6061090288135356E-15,0,3.6012568269136465E-14
0.75,0.25,112,1.2515425601700413E-15,0,2.806243789546889E-14
0.75,0.25,113,9.812643187924515E-16,0,2.2002320364877915E-14
0.75,0.25,114,7.446021809359749E-16,0,1.6695936296188584E-14
0.75,0.25,115,5.529444976393972E-16,0,1.2398632988900452E-14
0.75,0.25,116,3.9978420204428737E-16,0,8.96451030836678E-15
0.75,0.25,117,2.781237669147106E-16,0,6.236655450526625E-15
0.75,0.25,118,1.844587984176435E-16,0,4.136485761203287E-15
0.75,0.25,119,1.2270542657238537E-16,0,2.7518166817200694E-15
0.75,0.25,120,8.218598557201532E-17,0,1.8432390237739265E-15
0.75,0.25,121,4.593621893729499E-17,0,1.03038886258024E-15
0.75,0.25,122,2.6128180785610573E-17,0,5.861818005673288E-16
0.75,0.25,123,1.9111316824368363E-17,0,4.2877172234970977E-16
0.75,0.25,124,8.254299998682839E-18,0,1.8528114027858164E-16
0.75,0.25,125,3.41975002973603E-18,0,7.683184765002145E-17
0.75,0.25,126,4.4859282214199E-18,0,1.0069428642650306E-16
0.75,0.25,127,4.7372205598206595E-18,0,1.0629465555186253E-16
0.75,0.25,128,5.4096819160932876E-18,0,1.2134709700599666E-16
0.75,0.25,129,5.171853857570895E-18,0,1.1599838266418538E-16
0.75,0.25,130,4.7243462452548334E-18,0,1.0595038940601344E-16
0.75,0.25,131,4.2322255542522066E-18,0,9.490603558621045E-17
0.75,0.25,132,3.5218777288434864E-18,0,7.897356959802202E-17
0.75,0.25,133,3.0154096102376887E-18,0,6.761666397065246E-17
0.75,0.25,134,2.683702200031262E-18,0,6.017866891744014E-17
0.75,0.25,135,2.3519947898248375E-18,0,5.274067386422775E-17
0.75,0.25,136,2.020287379618412E-18,0,4.530267881101557E-17
0.75,0.25,137,1.688579969411985E-18,0,3.7864683757803216E-17
0.75,0.25,138,1.3568725592055584E-18,0,3.042668870459089E-17
0.75,0.25,139,1.1053697049315798E-18,0,2.4787134257116792E-17
0.75,0.25,140,1.0354582318967363E-18,0,2.321943470461406E-17
0.75,0.25,141,9.655467588618888E-19,0,2.1651735152111368E-17
0.75,0.25,142,8.956352858270438E-19,0,2.0084035599608668E-17
0.75,0.25,143,8.257238127921985E-19,0,1.851633604710594E-17
0.75,0.25,144,7.558123397573529E-19,0,1.694863649460319E-17
0.75,0.25,145,6.859008667225077E-19,0,1.5380936942100466E-17
0.75,0.25,146,6.159893936876613E-19,0,1.381323738959775E-17
0.75,0.25,147,5.460779206528154E-19,0,1.2245537837095025E-17
0.75,0.25,148,4.761664476179703E-19,0,1.0677838284592305E-17
0.75,0.25,149,4.0625497458312496E-19,0,9.110138732089599E-18
0.75,0.25,150,3.3634350154827924E-19,0,7.54243917958687E-18
0.75,0.5,0,0,0,0
0.75,0.5,1,1.893183792038169E-21,1.6520788512201566E-7,4.225154084932325E-8
0.75,0.5,2,6.2311330313468035E-15,1.2460325985644173E-6,7.051495005778652E-7
0.75,0.5,3,3.8816626203813326E-12,3.7915382055809914E-6,4.024036686093431E-6
0.75,0.5,4,1.605497814238623E-11,1.030957530824007E-5,1.1958555946920767E-5
0.75,0.5,5,4.6872334784581146E-11,2.80230143576927E-5,3.044137923906136E-5
0.75,0.5,6,1.5731464837849054E-10,7.616472161623573E-5,9.367291476592372E-5
0.75,0.5,7,3.4183090343322805E-10,2.0696531554019617E-4,1.9842607360514802E-4
0.75,0.5,8,1.231034651731545E-9,5.620595688460548E-4,6.952136819067391E-4
0.75,0.5,9,2.5876709253678877E-9,0.0015239268020171928,0.0014521627263432643
0.75,0.5,10,4.907688576212574E-9,0.004113780215981016,0.003260215982319042
0.75,0.5,11,9.182304423055564E-9,0.010974524857330912,0.008138031227503235
0.75,0.5,12,1.681574524969167E-8,0.028373014729149507,0.020406087517986466
0.75,0.5,13,3.087592329721084E-8,0.06770625270398911,0.050382101255333524
0.75,0.5,14,5.664069848032305E-8,0.13412607817609623,0.11098442112354846
0.75,0.5,15,1.0478425219165694E-7,0.1866186883677999,0.1975020663485037
0.75,0.5,16,1.9909318455078238E-7,0.16128029956298232,0.2609428054574638
0.75,0.5,17,3.943016498791717E-7,0.0917795910445916,0.2561976283960389
0.75,0.5,18,8.272232840230594E-7,0.04074281567175996,0.20294298580852194
0.75,0.5,19,1.8300215571992052E-6,0.01613670904149516,0.1429099476342212
0.75,0.5,20,4.158350791254779E-6,0.006104053382933334,0.09433918647825575
0.75,0.5,21,9.30128135294693E-6,0.0022689092566239616,0.060018712317927145
0.75,0.5,22,1.911261345971716E-5,8.37879371849845E-4,0.03720308116789097
