% Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
31.507575300045517,4.1336769880618263E-7,0,4.205488126598535E-6
31.733119255486205,3.423787745180806E-7,0,3.4389025889660422E-6
31.958663210926893,2.8322969979419307E-7,0,2.8110848166382216E-6
32.184207166367585,2.340387082912507E-7,0,2.2971643820783276E-6
32.40975112180828,1.931322485803685E-7,0,1.8757237938504508E-6
32.63529507724897,1.5917645929126966E-7,0,1.5304983039519256E-6
32.86083903268966,1.3101638139871068E-7,0,1.247763661543927E-6
33.08638298813035,1.077418115527336E-7,0,1.0170289133900683E-6
33.311926943571045,8.851491131333014E-8,0,8.286541438590792E-7
33.53747089901174,7.266410266100342E-8,0,6.750712004342064E-7
33.74046045890836,6.08197769021781E-8,0,5.61446432381748E-7
33.94345001880498,5.090317867881733E-8,0,4.671414540320519E-7
34.1464395787016,4.2595265857493566E-8,0,3.8873503198572453E-7
34.349429138598225,3.5627268316825763E-8,0,3.2339937637343206E-7
34.53211974250518,3.0324861799562766E-8,0,2.739569772401788E-7
34.714810346412136,2.5806265776899603E-8,0,2.3203085780094623E-7
34.89750095031909,2.195926077152177E-8,0,1.9649999595530197E-7
35.08019155422605,1.8686121464336002E-8,0,1.6639632854741543E-7
35.262882158133,1.5902486572568175E-8,0,1.408924547889541E-7
35.44557276203996,1.3534608300748862E-8,0,1.1927204417892606E-7
35.628263365946914,1.1520991953312353E-8,0,1.0094574531155097E-7
35.81095396985387,9.809388576650218E-9,0,8.54184371724193E-8
35.993644573760825,8.354993743926059E-9,0,7.226921510553419E-8
36.17633517766778,7.1190967373118255E-9,0,6.11366583316468E-8
36.359025781574736,6.068449085377176E-9,0,5.171189736840544E-8
36.724406989388655,4.412877192600928E-9,0,3.6967198233210325E-8
37.08978819720257,3.209978865196798E-9,0,2.6389540885101588E-8
37.45516940501649,2.333648163966407E-9,0,1.8812144168689668E-8
37.784012492049015,1.7501364055498897E-9,0,1.3864925460332286E-8
38.11285557908154,1.3105511836482638E-9,0,1.0213337464458061E-8
38.40881435741081,1.0086031319258606E-9,0,7.75443305197725E-9
