% Model,LymphNode_2D_Model(1).mph
% Version,COMSOL 6.0.0.312
% Date,"Sep 6 2022, 13:51"
% Table,Accumulated Probe Table 2 - 
% p_diric_aff,lmda,Time (s),"Dependent variable c, Sink Flux","Dependent variable c, Source Flux","Dependent variable p (m^2), Total Concentration"
1.25,0,110.60000000000001,2.4770032375802304E-5,0,4.018822033487684E-4
1.25,0,110.7,2.460518574885625E-5,0,3.99206315922213E-4
1.25,0,110.80000000000001,2.444162467114519E-5,0,3.965514087515367E-4
1.25,0,110.9,2.4279349142669104E-5,0,3.939174818367413E-4
1.25,0,111,2.4118359163428065E-5,0,3.913045351778268E-4
1.25,0,111.10000000000001,2.3958654733421965E-5,0,3.887125687747923E-4
1.25,0,111.2,2.3800235852650916E-5,0,3.861415826276381E-4
1.25,0,111.30000000000001,2.364310252111486E-5,0,3.835915767363635E-4
1.25,0,111.4,2.3487254738813784E-5,0,3.8106255110096927E-4
1.25,0,111.5,2.333269250574775E-5,0,3.785545057214557E-4
1.25,0,111.60000000000001,2.317941582191667E-5,0,3.760674405978219E-4
1.25,0,111.7,2.3027424687320634E-5,0,3.7360135573006866E-4
1.25,0,111.80000000000001,2.2876719101959537E-5,0,3.711562511181955E-4
1.25,0,111.9,2.27272990658335E-5,0,3.687321267622032E-4
1.25,0,112,2.2579164578942453E-5,0,3.663289826620903E-4
1.25,0,112.10000000000001,2.2432315641286367E-5,0,3.6394681881785784E-4
1.25,0,112.2,2.2286752252865332E-5,0,3.6158563522950565E-4
1.25,0,112.30000000000001,2.2142474413679293E-5,0,3.592454318970335E-4
1.25,0,112.4,2.1999482123728226E-5,0,3.56926208820442E-4
1.25,0,112.5,2.1857775383012162E-5,0,3.546279659997313E-4
1.25,0,112.60000000000001,2.171735419153111E-5,0,3.5235070343490004E-4
1.25,0,112.7,2.1578218549285093E-5,0,3.5009442112594923E-4
1.25,0,112.80000000000001,2.1440368456274014E-5,0,3.4785911907287873E-4
1.25,0,112.9,2.130380391249797E-5,0,3.456447972756881E-4
1.25,0,113,2.1168524917956915E-5,0,3.4345145573437807E-4
1.25,0,113.10000000000001,2.103453147265088E-5,0,3.412790944489483E-4
1.25,0,113.2,2.0901823576579823E-5,0,3.3912771341939907E-4
1.25,0,113.30000000000001,2.077040122974377E-5,0,3.3699731264572947E-4
1.25,0,113.4,2.064026443214274E-5,0,3.3488789212794023E-4
1.25,0,113.5,2.0511413183776687E-5,0,3.327994518660313E-4
1.25,0,113.60000000000001,2.0383847484645647E-5,0,3.307319918600026E-4
1.25,0,113.7,2.0257567334749603E-5,0,3.286855121098546E-4
1.25,0,113.80000000000001,2.0132572734088565E-5,0,3.2666001261558614E-4
1.25,0,113.9,2.000886368266251E-5,0,3.246554933771987E-4
1.25,0,114,1.9886440180471485E-5,0,3.22671954394691E-4
1.25,0,114.10000000000001,1.9764197008123654E-5,0,3.2069120875113645E-4
1.25,0,114.2,1.9629905910424714E-5,0,3.185120346230401E-4
1.25,0,114.30000000000001,1.9496479633910772E-5,0,3.163469174683046E-4
1.25,0,114.4,1.9363918178581788E-5,0,3.141958572869314E-4
1.25,0,114.5,1.9232221544437823E-5,0,3.1205885407891923E-4
1.25,0,114.60000000000001,1.9101389731478778E-5,0,3.0993590784426873E-4
1.25,0,114.7,1.8971422739704772E-5,0,3.0782701858297944E-4
1.25,0,114.80000000000001,1.8842320569115686E-5,0,3.0573218629505243E-4
1.25,0,114.9,1.871408321971163E-5,0,3.0365141098048646E-4
1.25,0,115,1.858671069149253E-5,0,3.01584692639282E-4
1.25,0,115.10000000000001,1.846020298445841E-5,0,2.995320312714389E-4
1.25,0,115.2,1.8334560098609288E-5,0,2.974934268769575E-4
1.25,0,115.30000000000001,1.8209782033945113E-5,0,2.9546887945583765E-4
1.25,0,115.4,1.8085868790465947E-5,0,2.934583890080797E-4
