% Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration","timeint(0,t,sourceFlux-sinkFlux)"
25.812251943046206,0.06709538836031106,1.8556113166580636E-5,0.5603918382717972,0.559211968153991
26.343049361902256,0.06869278616454107,1.0913735574516227E-5,0.5244848881541442,0.5230959011517087
26.873846780758306,0.06847224689518193,6.418835052894862E-6,0.4882312094427149,0.4866232052122868
27.404644199614356,0.06672057532594824,4.324666341975507E-6,0.452520387915131,0.45068507474391906
27.935441618470406,0.06380205601921188,3.5263228008296215E-6,0.4180645643838794,0.4160037055627079
28.466239037326456,0.060082006069511036,2.727979259683737E-6,0.3853751498860758,0.3830982789118444
28.997036456182506,0.05588832733736996,1.929635718537856E-6,0.3547810095572814,0.35230662483096714
29.527833875038556,0.05148276514754674,1.131292177391973E-6,0.32645783241665244,0.3238061101752787
30.058631293894607,0.0470636150625692,3.329486362460861E-7,0.30046290670832615,0.2976555387363647
30.589428712750657,0.042778464246729785,0,0.27676570852197135,0.2738204309554116
31.120226131606707,0.0387512256388538,0,0.2552637964365727,0.2521966004096922
31.651023550462757,0.0350621860658531,0,0.2358062269462843,0.23262262666204234
32.18182096931881,0.03173912926163262,0,0.21820386972297803,0.21490967651617504
32.71261838817486,0.0287534406095889,0,0.20226941741874938,0.19886841489637666
33.243415807030914,0.026050889975568387,0,0.1878304471256311,0.18433437858812332
33.77421322588697,0.023602865981002245,0,0.17474187868965757,0.1711677159310838
34.30501064474302,0.021413069883344044,0,0.16287518904486076,0.15923163714472122
34.835808063599075,0.01947833075629109,0,0.15209725983374042,0.14839048443510197
35.36660548245513,0.017774311138268245,0,0.1422812761570209,0.13851316556752125
35.89740290131118,0.0162607291998699,0,0.13331548130575008,0.12948816839958993
36.428200320167235,0.014900186531868915,0,0.12510728667279744,0.12122387642519447
36.95899773902329,0.013669489474373709,0,0.11758048178792715,0.11364688783250633
37.48979515787934,0.012557140077316774,0,0.11066785583310447,0.10669133966020819
38.020592576735396,0.011557940680176706,0,0.10430996137171109,0.10029627440655213
38.55138999559145,0.01066330650256754,0,0.09845135430271286,0.09440308180422331
39.0821874144475,0.009856456249665843,0,0.09304234633813134,0.08896079385124998
39.61298483330356,0.00912347922707586,0,0.08803995374180305,0.08392646090839782
40.14378225215961,0.008455417195234108,0,0.08340674720216162,0.07926377353750054
40.674579671015664,0.007846994375554616,0,0.07910961151539803,0.07493957436611826
41.20537708987172,0.007293469525151501,0,0.07511851127247106,0.07092366516276909
42.20537708987172,0.0063800928824549845,0,0.06834059324492446,0.06409993816980177
43.20537708987172,0.005607472361456157,0,0.06240018842521424,0.05811650948359912
44.20537708987172,0.004949041484833276,0,0.05716882341434742,0.05284679121068411
45.20537708987172,0.004385807080501579,0,0.0525417859085379,0.04818652903902157
46.20537708987172,0.0039027024159727836,0,0.048432351865364334,0.044048233432355706
47.20537708987172,0.0034865383522942285,0,0.04476637837052109,0.04035863024762383
48.20537708987172,0.0031266500824294547,0,0.04148351033084668,0.03705632554561163
49.20537708987172,0.0028146005123596655,0,0.03853322824671818,0.03408937522137131
50.20537708987172,0.0025435047640968477,0,0.03587238076554411,0.031413480755639864
51.20537708987172,0.0023072651294582885,0,0.03346362021119673,0.02899076384189957
52.20537708987172,0.0021005370260430583,0,0.03127486219089284,0.02678913326830372
53.20537708987172,0.0019189890950041387,0,0.029278771272246228,0.024781321043612147
54.20537708987172,0.0017591197176834296,0,0.027452068837329518,0.022943940233534608
55.20537708987172,0.0016178327110428113,0,0.0257748402876754,0.021256888698504478
56.20537708987172,0.0014923887257081206,0,0.024230090661291868,0.01970299983414869
57.20537708987172,0.0013806052865927175,0,0.022803119904483568,0.01826757087258277
58.20537708987172,0.0012806594227792313,0,0.021481229821910034,0.016937849680615357
59.20537708987172,0.0011909082062979846,0,0.020253494551993257,0.015702851681173736
60.20537708987172,0.0011099087227830892,0,0.019110514762870855,0.014553121572801333
61.20537708987172,0.0010365315937689882,0,0.01804416790199355,0.013480499871247654
62.20537708987172,9.698650215801643E-4,0,0.017047366391402315,0.012477824282797773
63.20537708987172,9.090399190554181E-4,0,0.016113898434815466,0.011538821623993906
64.20537708987172,8.532853872736719E-4,0,0.015238443925898399,0.010658054481181126
65.20537708987172,8.02019589595893E-4,0,0.014416189076271888,0.00983075515377646
66.20537708987172,7.54739768915422E-4,0,0.013642876592325421,0.009052683923623003
67.20537708987172,7.109869525854236E-4,0,0.012914760118623591,0.008320094455084207
68.20537708987172,6.703717166670628E-4,0,0.012228528413699258,0.007629661088385051
69.20537708987172,6.32567294574155E-4,0,0.011581188397286042,0.0069784134008484865
70.20537708987172,5.973042722411541E-4,0,0.010970099896631702,0.006363678365913576
71.20537708987172,5.643455369944936E-4,0,0.010392884685130574,0.0057830360237422045
72.20537708987172,5.334813205477733E-4,0,0.009847377901433361,0.005234289496141845
73.20537708987172,5.045312323199406E-4,0,0.009331593103107034,0.004715436128280452
