p_diric_aff,lmda,Time (s),"Dependent variable c Sink Flux","Dependent variable c Source Flux","Dependent variable p (m^2) Total Concentration"
0.75,1,85,-1.4719056414055167E-19,0,-1.2339217584424815E-18
0.75,1,90,-1.7567199335151754E-19,0,-1.4713563127460242E-18
0.75,1,95,-1.80908970772584E-19,0,-1.5144614836003414E-18
0.75,1,100,-1.0902622859892774E-19,0,-9.128266667758768E-19
0.75,1,105,-3.714348642527153E-20,0,-3.111918499514046E-19
0.75,1,110,1.484489429616059E-20,0,1.2394765588558462E-19
0.75,1,115,8.283810076467627E-22,0,6.694194435202858E-21
0.75,1,120,-1.3188132280867063E-20,0,-1.1055926701517903E-19
0.75,1,125,-2.167742447248493E-20,0,-1.8155031852850576E-19
0.75,1,130,-1.1828674322494283E-20,0,-9.90533844197272E-20
0.75,1,135,-1.97992417250362E-21,0,-1.655645031094814E-20
0.75,1,140,4.8925138110134216E-21,0,4.1003255928412364E-20
0.75,1,145,1.890235807270604E-21,0,1.5827002716367025E-20
0.75,1,150,-1.1120421964722077E-21,0,-9.349250495678458E-21
1,0,0,0,0,0
1,0,5,3.664502571308573E-8,2.80230143576927E-5,4.915857226784394E-5
1,0,10,1.5757148225222047E-6,0.004113780215981016,0.005077653034639596
1,0,15,7.534525520441908E-5,0.1866186883677999,0.34555741148544855
1,0,20,0.004639361759564326,0.006104053382933334,0.7513375573036823
1,0,25,0.061314597157014025,4.1803896506466095E-5,0.6214836850776655
1,0,30,0.052570273729304375,7.551051709254534E-9,0.30740082869852864
1,0,35,0.020202400364764107,0,0.15308182901112175
1,0,40,0.008681980287892993,0,0.08626287201064896
1,0,45,0.004443603205665849,0,0.05392869277878896
1,0,50,0.0026124452585662267,0,0.036847192162671884
1,0,55,0.0016736125594014797,0,0.026544854731641084
1,0,60,0.001147477868093975,0,0.019683466973288904
1,0,65,8.371619453289943E-4,0,0.014899515206828796
1,0,70,6.313954961165385E-4,0,0.011386581111114482
1,0,75,4.793369950337745E-4,0,0.008712900678252257
1,0,80,3.6050351839709996E-4,0,0.006627836907231709
1,0,85,2.713388495106463E-4,0,0.005037648326615333
1,0,90,2.012450404392879E-4,0,0.0037694814598754796
1,0,95,1.49800722412137E-4,0,0.002817802949294091
1,0,100,1.1047791794887871E-4,0,0.002085208995593313
1,0,105,8.254671671724101E-5,0,0.0015561422911158549
1,0,110,6.10229622270813E-5,0,0.0011487334310621845
1,0,115,4.516050271361327E-5,0,8.480628904381726E-4
1,0,120,3.3801972652813926E-5,0,6.333881144460061E-4
1,0,125,2.486259320537189E-5,0,4.6513848169483905E-4
1,0,130,1.8266883889875064E-5,0,3.4142776749734546E-4
1,0,135,1.3486487343406916E-5,0,2.520644988621614E-4
1,0,140,9.827660177956226E-6,0,1.836887483973129E-4
1,0,145,7.303912615007002E-6,0,1.3660267294568254E-4
1,0,150,5.522129565633284E-6,0,1.0331660396493457E-4
1,0.25,0,0,0,0
1,0.25,5,4.035806762163695E-9,2.80230143576927E-5,3.4249992084418465E-5
1,0.25,10,2.52764373414874E-7,0.004113780215981016,0.0039383696999627125
1,0.25,15,8.926619102163738E-6,0.1866186883677999,0.25220258521901356
1,0.25,20,5.279210935959345E-4,0.006104053382933334,0.2428020080066561
1,0.25,25,0.004972304495950509,4.1803896506466095E-5,0.06251561866905361
1,0.25,30,0.0018118864707882829,7.551051709254534E-9,0.01297145820996141
1,0.25,35,2.3748405363262635E-4,0,0.0013987213205016674
1,0.25,40,7.650900873579412E-6,0,1.5433734856424634E-4
1,0.25,45,2.691786505062803E-6,0,4.14247600292613E-5
1,0.25,50,7.864730677802227E-7,0,1.1909538619380097E-5
1,0.25,55,2.118369967069713E-7,0,3.3737371260466277E-6
1,0.25,60,4.874137416812336E-8,0,8.286552330093531E-7
1,0.25,65,7.577922128287064E-9,0,1.4199416829527446E-7
1,0.25,70,1.2127368540462875E-9,0,2.37076115840478E-8
1,0.25,75,2.155264125953758E-10,0,4.121707439840457E-9
1,0.25,80,5.290135652397751E-11,0,9.987333729679077E-10
1,0.25,85,9.694163954468396E-12,0,1.815077829939637E-10
1,0.25,90,1.2724488729078826E-12,0,2.3682336908490832E-11
